매장명,매장주소
본 죽&비빔밥 해운대수비오거리점,부산광역시 해운대구 해운대로 403 (우동) 1층 104호
본죽 부산역점,부산광역시 동구 중앙대로 207-1 (초량동) 2층
본죽 부산부곡점,부산광역시 금정구 중앙대로1719번길 9 (부곡동)
본죽 부산구서점,부산광역시 금정구 중앙대로1945번길 12 (구서동) 번지
본죽 부산남산점,부산광역시 금정구 금단로 202 (남산동)
본죽 부산영도점,부산광역시 영도구 태종로 127-1
본죽 부산다대점,"부산광역시 사하구 다대로 483 (다대동, 현대빌딩) 101호"
본죽 부산장림동점,부산광역시 사하구 다대로 273 (장림동)
본죽 부산사상점,부산광역시 사상구 사상로 218 (괘법동) 호림빌딩 1층
본죽 부산덕천점,부산광역시 북구 덕천2길 42-1 (덕천동)
본죽 부산숙등역(부민병원)점,부산광역시 북구 만덕대로 68 (덕천동)
본죽 부산양정점,부산광역시 부산진구 동평로 367 (양정동)
본죽 부산부전점,부산광역시 부산진구 서면문화로 9 (부전동) 2층
본죽 부산범내골역점,부산광역시 부산진구 범일로 185 (범천동)
본죽 부산서면시장점,부산광역시 부산진구 중앙대로 701-4 (부전동) 1층
본죽 부산광혜병원점,부산광역시 동래구 충렬대로108번길 6 (온천동) 1층
본죽 부산사직점,부산광역시 동래구 석사로 4 (사직동)
본죽 부산온천장점,부산광역시 동래구 중앙대로 1523 (온천동) SK허브스카이 1층 B1-08호
