매장명,매장주소
본 죽&비빔밥 부천오정점,"경기도 부천시 오정로 246 (오정동, 신오빌딩2) 1층"
본도시락 고덕삼성점,경기도 평택시 고덕여염12길 116 (고덕동) 1층
본 죽&비빔밥 시흥거모점,"경기도 시흥시 군자로 507 (거모동, 군자프라자) 113호"
본 죽&비빔밥 양주고읍점,경기도 양주시 고읍남로 15 (광사동) 마들프라자 104호
본도시락 파주문산점,경기도 파주시 문산읍 우계로 424 (선유리) 1층 113호
본도시락 일산동국대병원점,"경기도 고양시 일산동구 위시티로 25 (식사동, 부경빌딩) 1층"
본 죽&비빔밥 평택고덕국제점,"경기도 평택시 고덕중앙로 200-4 (고덕동, 우성고덕타워) 1층 120호"
본 죽&비빔밥 파주문산점,"경기도 파주시 문산읍 문향로75번길 19-12 (문산리, 삼성멀티프라자) 1층"
본설렁탕 의정부금오점,"경기도 의정부시 부용로 105 (금오동, 프레티넘프라자2) 1층 107호"
본 죽&비빔밥 광주능평점,경기도 광주시 오포읍 능평로 221 (능평리) 1층
본 죽&비빔밥 광주탄벌점,경기 광주시 포돌이로 6-1 (탄벌동) 1층
본 죽&비빔밥 원흥지구점,"경기도 고양시 덕양구 도래울로 54 (도내동, 도래올빌딩) 106호"
본 죽&비빔밥 안산본오점,"경기도 안산시 상록구 샘골로 144 (본오동, 유경빌딩) 103호"
본 죽&비빔밥 시흥능곡점,"경기도 시흥시 승지로59번길 1 (능곡동, 건아빌딩) 103호"
본도시락 수원정자점,경기도 수원시 장안구 정자천로 179 (정자동) 1층
본도시락 행신역점,경기도 고양시 덕양구 소원로 111 (행신동) 라온팰리스오피스텔 1층 102호
본설렁탕 파주운정점,경기도 파주시 청암로17번길 31 (목동동) 110호
본도시락 남양주평내점,경기도 남양주시 경춘로1308번길 4 (평내동) 1층
본 죽&비빔밥 하남감일점,"경기도 하남시 감일백제로 105 (감이동, 신성메디타워) 107호"
본 죽&비빔밥 분당카페거리점,"경기 성남시 분당구 정자일로 230 (정자동, 동양정자파라곤) 113호"
본 죽&비빔밥 광주양벌점,"경기 광주시 오포읍 양벌로 207 (양벌리, 백두산빌딩) 1층"
본 죽&비빔밥 마석역점,경기 남양주시 화도읍 마석중앙로 76 (마석우리) 1층
본 죽&비빔밥 김포신곡점,경기 김포시 고촌읍 수기로 115 (신곡리) 센트럴타워 103호
본 죽&비빔밥 송탄점,경기도 평택시 관광특구로 13 (서정동) 101호
본 죽&비빔밥 구리한대병원점,"경기 구리시 경춘로 160 (교문동, 도양빌딩) 1층"
본 죽&비빔밥 일산덕이점,경기 고양시 일산서구 덕이동 1543 금문프라자 101호
본죽 평택소사벌점,"경기 평택시 평남로 858 (비전동, 삼성타워) 1층"
본죽 부천팰리스중동시장점,"경기도 부천시 장말로216번길 3 (중동, 팰리스카운티) 103호"
본 죽&비빔밥 수원세류점,"경기도 수원시 권선구 권선로 550 (세류동, 태봉빌딩) 101호"
본 죽&비빔밥 일산정발산점,"경기 고양시 일산동구 일산로 452 (정발산동, 일산프라자)"
본 죽&비빔밥 화성조암점,경기 화성시 우정읍 조암동로10번길 13 (조암리) 101호
본도시락 구리인창점,경기도 구리시 동구릉로53번길 4 (인창동)
본 죽&비빔밥 서판교점,"경기 성남시 분당구 운중로 140 (운중동, 메트로골드) 1층"
본 죽&비빔밥 성남고등점,경기 성남시 수정구 청계산로 686 (고등동) 반도아이비밸리 110호
본 죽&비빔밥 기흥역점,"경기도 용인시 기흥구 기흥역로58번길 10 (구갈동, 기흥역센트럴푸르지오) 3동 108호"
본죽 분당수내푸른마을점,"경기도 성남시 분당구 돌마로366번길 42 (수내동, 동한프라자)"
본 죽&비빔밥 동탄꼬모점,경기도 화성시 동탄대로 198 (산척동) 102호
본죽 수원화서점,"경기 수원시 팔달구 일월로22번길 3 (화서동, 현승빌딩) 102호"
본 죽&비빔밥 고양화정점,"경기 고양시 덕양구 화신로272번길 3 (화정동, 대경프라자 II) 1층"
본설렁탕 수지상현점,"경기 용인시 수지구 광교중앙로 338 (상현동, 광교우미뉴브) R-B127호"
본 죽&비빔밥 봉담신도시점,경기 화성시 봉담읍 매봉로 443 1층 103호
본 죽&비빔밥 남양주진접점,"경기도 남양주시 진접읍 해밀예당3로 60 (금곡리, 호평프라자) 104호"
본도시락 의정부민락지구점,경기도 의정부시 용민로 477 (민락동)
본 죽&비빔밥 화정명지병원점,경기 고양시 덕양구 화중로138번길 5-3 (화정동) 1층
본 죽&비빔밥 수지상현점,"경기도 용인시 수지구 만현로 110 (상현동, 원희캐슬프라자) B동 109호"
본죽 수원정자백설마을점,"경기도 수원시 장안구 대평로90번길 16 (정자동, 대일프라자)"
본죽 김포통진점,경기 김포시 통진읍 조강로 62-1 (서암리) 1층
본 죽&비빔밥 마북교동마을점,"경기도 용인시 기흥구 마북로 164 (마북동, 테라스가든A빌딩) 106호"
본도시락 안양호계점,"경기 안양시 동안구 흥안대로 94 (호계동, 리치밸리) 104호"
본 죽&비빔밥 시흥목감역점,"경기도 시흥시 목감우회로 39 (목감동, 목감시티프라자) 105호"
본도시락 경기광주경안점,경기도 광주시 중앙로 76 (역동) 1층
본 죽&비빔밥 남양주가운점,"경기도 남양주시 가운로1길 1 (다산동, 드림프라자) 105호"
본 죽&비빔밥 김포걸포점,"경기 김포시 걸포2로 83 (걸포동, 한강메트로자이1단지) 105호"
본도시락 경기광주태전점,"경기도 광주시 태봉로 161 (태전동, 힐스테이트 태전2차 에듀포레) 근린생활시설동 1층 109호"
본죽 동수원점,"경기도 수원시 팔달구 권광로 373 (우만동, 월드메르디앙 아파트) 월드메르디앙단지상가121-105호"
본죽 평택청북점,경기 평택시 청북읍 안청로 328 (옥길리) 104호
본 죽&비빔밥 구리인창점,"경기도 구리시 건원대로34번길 25 (인창동, 신아월드코아) 제 2층 204호"
본 죽&비빔밥 구일산점,"경기도 고양시 일산서구 고봉로 291 (일산동, 에이스스타디움) 126호"
본도시락 별내점,경기도 남양주시 별내5로5번길 4-23 (별내동)
본도시락 서판교점,경기도 성남시 분당구 판교공원로2길 21 (판교동) 102호
본 죽&비빔밥 동탄솔빛나루점,"경기도 화성시 동탄솔빛로 58 (반송동, 동유프라자) 104호"
본도시락 원흥역점,경기도 고양시 덕양구 권율대로 690 (원흥동) 동원로열듀크2차 203동 102호
본도시락 화성봉담점,경기도 화성시 봉담읍 상봉길 31 (지맨프라자) 110호
본 죽&비빔밥 의정부금오점,"경기도 의정부시 청사로47번길 15 (금오동, 골드피아) 104호"
본 죽&비빔밥 이천점,경기도 이천시 서희로59번길 3-2 (창전동) 2층
본도시락 부천상동점,"경기도 부천시 송내대로265번길 17 (상동, 효성프라자) 104호"
본죽 부천범박점,"경기도 부천시 범안로 118 (범박동, 신한은행365) 영플러스 101호"
본도시락 산본점,"경기도 군포시 번영로 508 (금정동, 신산빌딩) 104호"
본도시락 시흥시청점,"경기도 시흥시 시청로68번길 10 (장현동, 봉빈빌딩) 102호"
본도시락 부천옥길점,"경기도 부천시 범안로219번길 19 (옥길동, 부천옥길자이) 상가 203호"
본 죽&비빔밥 안산고잔법원점,"경기도 안산시 단원구 광덕서로 78 (고잔동, 대한법조) 대한법조타운 118호"
본 죽&비빔밥 시흥시화점,"경기도 시흥시 중심상가2길 8 (정왕동, 중앙빌딩) 102호"
본 죽&비빔밥 시흥배곧타운점,"경기도 시흥시 배곧4로 32-9 (정왕동, 골든프라자) 111호"
본 죽&비빔밥 화성송산점,경기도 화성시 수노을중앙로 136 (새솔동) 메가타워 109호
본죽 부천도당점,"경기도 부천시 삼작로 298 (도당동, 대영빌딩)"
본도시락 하남미사점,경기도 하남시 미사강변중앙로111번길 58 (풍산동)
본죽 남양주월산점,경기도 남양주시 화도읍 경춘로2290번길 4 (남양주월산사랑으로부영1단지) 101호
본죽 김포양곡점,경기도 김포시 양촌읍 양곡2로 30 (김포메디컬시티) 103호
본 죽&비빔밥 김포풍무역점,경기도 김포시 유현로238번길 31 (풍무동) 웅신타워 109호
본 죽&비빔밥 용인동백역점,"경기도 용인시 기흥구 동백3로11번길 8-1 (중동, 제일프라자) 1층"
본죽 별내로데오점,"경기도 남양주시 별내3로 66 (별내동, 오션타워) 104호"
본 죽&비빔밥 고양향동점,경기도 고양시 덕양구 향기4로 1 (향동동) (중흥메디프라자) 109호
본도시락 안양동점,경기도 안양시 만안구 박달로 541 (박달동)
본죽 용인동천래미안점,"경기도 용인시 수지구 동천로113번길 10 (동천동, 한빛마을래미안이스트팰리스2단지) 상가동2블럭 14호"
본죽 화성남양점,경기도 화성시 남양읍 남양성지로 177
본도시락 시흥은계점,"경기도 시흥시 대은로103번길 7 (대야동, 신화프라자) 102호"
본 죽&비빔밥 광명역점,"경기도 광명시 덕안로77번길 5 (일직동, 지웰에스테이트) 1층 103호"
본 죽&비빔밥 미사역점,"경기도 하남시 미사강변남로 103 (망월동, 미사랑데르Ⅲ) 113호"
본도시락 다산중앙점,"경기도 남양주시 다산순환로 355 (다산동, 으뜸웰 타워) 으뜸웰타워 204 호"
본도시락 다산지금점,"경기도 남양주시 다산지금로 124-73 (다산동, 다산지금지구F3-3-4)"
본 죽&비빔밥 용인마평점,"경기도 용인시 처인구 금령로 147 (마평동, 한솔빌딩)"
본 죽&비빔밥 성남중앙병원점,경기도 성남시 중원구 산성대로476번길 6 (금광동) 1층
본죽 평택팽성점,경기도 평택시 팽성읍 동서촌로 73
본 죽&비빔밥 고양신원점,경기도 고양시 덕양구 신원로1길 22 (신원동)
본 죽&비빔밥 용인물푸레마을점,경기도 용인시 기흥구 구성3로28번길 32 (청덕동) 일월프라자 107호
본 죽&비빔밥 용인한숲점,경기도 용인시 처인구 남사면 한숲로 45 1층 126호 (한숲스퀘어옐로우)
본 죽&비빔밥 시흥은계점,"경기도 시흥시 은계번영길 5 (은행동, 은계푸리마타워) 은계푸리마타워 103호"
본 죽&비빔밥 부천역점,"경기도 부천시 부일로 448 (심곡동, 프리존빌딩) 1층 103호"
본도시락 평택소사벌점,경기도 평택시 비전4로 47 (비전동) 106호
본 죽&비빔밥 전곡점,경기도 연천군 전곡읍 전곡로 147
본 죽&비빔밥 수원천천점,"경기도 수원시 장안구 만석로5번길 12-10 (천천동, 중앙프라자)"
본도시락 수원고색산업단지점,"경기도 수원시 권선구 산업로156번길 142-10 (고색동, 수원벤처밸리∥) A-111호"
본 죽&비빔밥 이천마장점,경기도 이천시 마장면 오천로 49 마장더퍼스트 1층
본죽 광명하안점,"경기도 광명시 하안로 294-9 (하안동, 양정빌딩) 104호"
본 죽&비빔밥 고양원당점,경기도 고양시 덕양구 호국로 780 (성사동) 1층
본 죽&비빔밥 가평점,경기도 가평군 가평읍 가화로 116
본죽 시흥삼미시장점,"경기도 시흥시 삼미시장1길 19 (신천동, 늘푸른교회) 삼미상가 A-106"
본설렁탕 안산선부점,경기도 안산시 단원구 선부광장1로 56 (선부동)
본죽 성남신흥동점,"경기도 성남시 수정구 공원로 322 (신흥동, 신동아파라디움) 101호"
본죽 부천라일락마을점,"경기도 부천시 도약로 25 (상동, 대동프라자) 102호"
본 죽&비빔밥 신갈강남병원점,경기도 용인시 기흥구 신구로12번길 9 (구갈동)
본설렁탕 산본점,"경기도 군포시 광정로 68 (산본동, 세종빌딩) 2층 204호"
본죽 하남시청점,"경기도 하남시 대청로 15 (신장동, 오피스텔트레벨) 1층 103호"
본 죽&비빔밥 행신롯데마트옆점,"경기도 고양시 덕양구 중앙로558번길 7-4 (행신동, 행신동비전프라자)"
본도시락 분당정자점,"경기도 성남시 분당구 성남대로 393 (정자동, 두산위브파빌리온) B동 102호"
본죽 양주덕계점,경기도 양주시 평화로 1432 (덕계동)
본 죽&비빔밥 고양능곡점,"경기도 고양시 덕양구 토당로 115 (토당동, 금호프라자)"
본도시락 수원아주대점,"경기도 수원시 영통구 월드컵로 185 (원천동, 캠퍼스빌)"
본 죽&비빔밥 남양주덕소점,경기도 남양주시 와부읍 덕소로97번길 13 이레빌딩 201호
본 죽&비빔밥 수원율전점,경기도 수원시 장안구 서부로 2113 (율전동) 1층
본 죽&비빔밥 수원권선점,경기도 수원시 권선구 덕영대로1201번길 36 (권선동) 1층
본 죽&비빔밥 죽전현대홈타운점,"경기도 용인시 수지구 현암로 119 (죽전동, 죽전메디뷰) 102호"
본도시락 판교테크노벨리점,"경기도 성남시 분당구 판교역로 230 (삼평동) 삼환하이펙스 B동 제지1층 102호,102-1호"
본죽 화성사강점,경기도 화성시 송산면 사강시장길 68
본도시락 수원호매실점,경기도 수원시 권선구 금곡로 201 (금곡동) 105호
본 죽&비빔밥 양주옥정점,경기도 양주시 옥정로 196 (옥정동)
본 죽&비빔밥 일산주엽점,"경기도 고양시 일산서구 중앙로 1413 (주엽동, 동영빌딩) 105호"
본 죽&비빔밥 남양주마석점,경기도 남양주시 화도읍 맷돌로91번길 4-18
본도시락 화성남양점,경기도 화성시 남양읍 시청로 54 골드프라자 101호
본죽 성남수진역점,"경기도 성남시 수정구 산성대로 207 (신흥동, 에드모스)"
본 죽&비빔밥 수원호매실휴먼시아점,경기도 수원시 권선구 금곡로 112 (금곡동) 이수프라자 103호
