매장명,매장주소
본죽 잠원점,서울특별시 서초구 나루터로 42 (잠원동) 본죽
본죽 중화역점,서울특별시 중랑구 봉화산로 36 (중화동)
본죽 신림푸르지오점,서울특별시 금천구 남부순환로 1432 (독산동) 푸르지오상가 109호
본도시락 구의점,서울특별시 광진구 구의강변로 106 삼성쉐르빌
본 죽&비빔밥 시흥사거리점,서울특별시 금천구 금하로 619 (시흥동) 1층
본 죽&비빔밥 장한평역점,서울특별시 동대문구 천호대로 427-4 (장안동)
본죽 대치은마점,서울특별시 강남구 도곡로 516 삼성상가
본도시락 신용산점,서울특별시 용산구 한강대로 54-1 (한강로3가)
본죽 강동구청점,서울특별시 강동구 성내로 4
본 죽&비빔밥 강남역점,서울특별시 서초구 서초대로78길 36 강남지웰타워 201호
본죽 먹골역점,"서울특별시 중랑구 공릉로4길 4 (묵동, 묵동해오름아파트)"
본죽 전농동점,서울특별시 동대문구 사가정로 136
본죽 청량리점,서울특별시 동대문구 홍릉로 12 (청량리동)
본죽 목동로데오점,서울특별시 양천구 목동로 218 (목동) 1층
본 죽&비빔밥 강남점,서울특별시 강남구 강남대로94길 21 (역삼동)
본죽 천왕점,서울특별시 구로구 천왕로 42 쿠앤하우스105호
본도시락 시립대점,서울특별시 동대문구 전농로 209
본 죽&비빔밥 강남성심병원점,"서울특별시 영등포구 시흥대로 681 (대림동, 삼성YJ그랜드빌딩) 신관 2층"
본죽 성산점,서울특별시 마포구 월드컵북로 230 현대상가
본 죽&비빔밥 역삼역점,서울특별시 강남구 봉은사로30길 78 2층
본죽 상암DMC점,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 지하1층 1047호
본죽 신천점,"서울특별시 송파구 올림픽로 119 (잠실동) 파인애플상가 B동 9,10호"
본죽 여의도KBS점,"서울특별시 영등포구 의사당대로 38 (여의도동, 여의도더샵아일랜드파크) 102동 122호"
본 죽&비빔밥 연희점,서울특별시 서대문구 연희맛로 18 (연희동) 1층
본 죽&비빔밥 당산점,"서울특별시 영등포구 양평로 16, 1층 (당산동6가,대정프라자)"
본죽 송파엄마손점,서울특별시 송파구 가락로 113 (석촌동) 금도빌딩 101호
본죽 인왕산점,서울특별시 서대문구 통일로 404 (홍제동)
본도시락 광화문점,서울특별시 종로구 사직로8길 42 광화문시대 108호
본 죽&비빔밥 선릉점,서울특별시 강남구 선릉로 424
본죽 약수역점,서울특별시 중구 다산로 129-1 (신당동)
본죽 월곡점,"서울특별시 성북구 오패산로 46 (하월곡동, 월곡두산위브아파트) 두산위브 센트로상가 1층 119호"
본죽 자곡점,"서울특별시 강남구 자곡로 201 (자곡동, 강남더샵라르고) 121호"
본죽 아현점,서울특별시 마포구 마포대로21길 46 (아현동)
본죽 종로3가점,서울특별시 종로구 돈화문로 31 1층
본죽 신림녹두거리점,서울특별시 관악구 호암로 598 (신림동) 동방빌딩 1층
본죽 신곡시장점,서울특별시 양천구 신월로 175 (신월동)
본도시락 영등포역점,서울특별시 영등포구 영등포로 226 (영등포동3가) 1층
본도시락 장안점,서울특별시 동대문구 답십리로 269 화성빌딩 103호
본죽 중곡동점,"서울특별시 광진구 면목로 133, 1층(중곡동)"
본죽 군자역점,서울특별시 광진구 능동로 285 (군자동)
본도시락 신논현역점,"서울특별시 강남구 강남대로110길 15, 지상1층 101호"
본죽 염창동점,서울특별시 강서구 양천로 731 동아3차아파트
본죽 보문역점,서울특별시 성북구 보문로 116 (보문동1가)
본죽 아차산점,서울특별시 광진구 자양로 283 (구의동)
본죽 양천구청점,"서울특별시 양천구 목동동로 55 (신정동, 밀레니엄프라자)"
본죽 사당점,서울특별시 동작구 동작대로 43 (사당동) 호진빌딩 1층
본죽 방이역점,서울특별시 송파구 마천로 28 (방이동)
본 죽&비빔밥 한성대입구점,"서울특별시 성북구 삼선교로 8 (삼선동1가, 기성빌딩) 1이 19번지"
본죽 장위뉴타운점,"서울특별시 성북구 월계로40길 7 (장위동, 센트럴타운) 1층"
본죽 강남세브란스사거리점,서울특별시 강남구 언주로 314 (역삼동) 강남프라자 108호
본죽 수유사거리점,서울특별시 강북구 도봉로 285 (수유동) 1층
본죽 신내점,서울특별시 중랑구 봉화산로 203 동성아파트상가 B동 101호
본 죽&비빔밥 문정법조단지점,"서울특별시 송파구 송파대로 167 (문정동, 문정역테라타워) B동 1층 130호"
본도시락 잠실새내점,"서울특별시 송파구 올림픽로8길 20 (잠실동, 잠실아이파크) 106호"
본도시락 중계점,서울특별시 노원구 덕릉로 589 (중계동) 101호
본도시락 강서구청사거리점,서울특별시 강서구 화곡로 347 그랜드아이파크 112호
본 죽&비빔밥 양남사거리점,"서울특별시 영등포구 선유로 76 (문래동3가, 동국메뜨리앙) 108호"
본죽 봉일시장점,서울특별시 관악구 은천로 38-1 (봉천동)
본죽 시흥점,서울특별시 금천구 금하로 760 (시흥동)
본죽 신창점[신창시장],서울특별시 도봉구 덕릉로 250 (창동)
본죽 서초우체국점,서울특별시 서초구 동산로 14 (양재동)
본죽 삼성차관아파트점,"서울특별시 강남구 봉은사로 474 (삼성동, 쌍용 플래티넘) 108호"
