,매장명,매장주소,lat,lng
82,본 죽&비빔밥 강남구청역점,서울 강남구 논현동 112-3 1층,37.5174526,127.0389939
83,본도시락 영등포문래점,"서울특별시 영등포구 선유로13길 25 (문래동6가, 에이스하이테크시티2) 에이스하이테크시티 2차 105호",37.5189767,126.8862918
84,본 죽&비빔밥 종로5가점,서울특별시 종로구 종로 199-1 (종로4가),37.5711459,126.9998741
85,본 죽&비빔밥 합정역점,"서울 마포구 양화로 73 (서교동, 체리스빌딩) 102호",37.5514445,126.9159344
86,본죽 만리점,"서울 중구 만리재로 175 (만리동2가, 서울역센트럴자이) 402동 109호",37.5548629,126.9644863
87,본 죽&비빔밥 제기동역점,"서울특별시 동대문구 정릉천동로 58 (용두동, 롯데캐슬피렌체) 133호",37.5772496,127.0357739
88,본도시락 충무로점,서울특별시 중구 수표로2길 7 (충무로3가),37.5622167,126.990928
89,본 죽&비빔밥 장안동점,"서울특별시 동대문구 장안벚꽃로 107 (장안동, 장안현대홈타운) 117호",37.5694827,127.0747898
90,본 죽&비빔밥 사당연세사랑병원점,"서울특별시 서초구 효령로 22 (방배동, 멤버스뷰) 1층",37.4774345,126.9875091
91,본 죽&비빔밥 봉화산역점,"서울특별시 중랑구 신내로 211 (신내동, 금강리빙스텔) 117호",37.6163597,127.0927002
92,본 죽&비빔밥 공릉원자력병원점,"서울특별시 노원구 공릉로46길 6 (공릉동, 현대프라자) 101호",37.6269386,127.0795663
93,본 죽&비빔밥 구로디지털포스트1차점,"서울 구로구 디지털로 288 (구로동, 대륭포스트타워1차) 109호",37.4837318,126.8953657
94,본도시락 노원점,"서울 노원구 동일로218길 25 (상계동, 석창빌딩) 104호",37.6539732,127.0622651
95,본도시락 신촌점,서울특별시 서대문구 연세로7안길 45 (창천동) 1층,37.558247,126.9342758
96,본 죽&비빔밥 화랑대역점,"서울특별시 노원구 노원로1길 67 (공릉동, 대덕프라자) 104호",37.6208327,127.0836582
97,본 죽&비빔밥 성수힐스테이트점,서울 성동구 성수일로4길 37 (성수동2가) 1층,37.5421465,127.0529522
98,본도시락 가락본동점,서울특별시 송파구 오금로36길 41 (가락동) 1층,37.5001481,127.1234546
99,본 죽&비빔밥 잠실레이크팰리스점,"서울 송파구 석촌호수로 138 (삼전동, 유시에셋) 1층",37.5070577,127.092279
100,본 죽&비빔밥 신사점,서울 강남구 도산대로11길 5 (신사동) 2층,37.5178614,127.0222931
101,본 죽&비빔밥 보라매점,"서울특별시 동작구 보라매로5길 43 (신대방동, 보라매삼성쉐르빌) 105호",37.4914777,126.9234164
102,본 죽&비빔밥 길음역점,"서울특별시 성북구 동소문로 248 (길음동, 삼부아파트) 삼부아파트상가 105동 13.14호",37.6026982,127.0236736
103,본 죽&비빔밥 경복궁역점,서울특별시 종로구 자하문로2길 1 (통의동) 1층,37.5766438,126.9727808
104,본 죽&비빔밥 역삼특허청점,"서울특별시 강남구 테헤란로14길 8 (역삼동, 강남역두산위브센티움) B107호",37.4986601,127.0329497
105,본도시락 광운대역점,"서울특별시 노원구 석계로18길 23 (월계동, 삼능스페이스향) 삼능스페이스향 108호",37.6239685,127.0607355
106,본죽 경희대점,서울특별시 동대문구 회기로 143 (회기동),37.5917349,127.052477
107,본도시락 마곡나루점,"서울특별시 강서구 마곡중앙5로1길 25 (마곡동, 마곡헤리움2차) 1층",37.5692784,126.8261367
108,본 죽&비빔밥 쌍문점,"서울 도봉구 도당로 14 (쌍문동, 다보빌딩) 1층",37.659492,127.0352013
109,본 죽&비빔밥 창동점,서울 도봉구 노해로63가길 12 (창동),37.6531966,127.0452685
110,본도시락 방학사거리점,서울특별시 도봉구 방학로 106 (방학동),37.6630372,127.0404891
111,본도시락 서울시청점,서울특별시 중구 세종대로 66-5 (태평로2가),37.5622394,126.976811
112,본도시락 상봉점,"서울특별시 중랑구 동일로 676 (면목동, 삼경빌딩)",37.5906605,127.0803954
113,본 죽&비빔밥 양재은광여고점,"서울특별시 강남구 남부순환로361길 9 (도곡동, 천성빌딩)",37.4856367,127.0370712
114,본도시락 은평뉴타운점,"서울특별시 은평구 진관2로 19 (진관동, 휴먼프라자I) 119호",37.6348572,126.9195953
115,본도시락 강남구청역점,"서울특별시 강남구 선릉로 649 (논현동, 대훈빌딩)",37.5145076,127.0420276
116,본 죽&비빔밥 선유도역점,서울특별시 영등포구 양평로 113 (양평동4가),37.5372436,126.8947718
